加納,かのう,43600,13.89
村瀬,むらせ,43400,39.88
片桐,かたぎり,43400,20.34
長沢,ながさわ,43300,29.14
越智,おち|こえち,43300,28.82
倉田,くらた,43100,16.71
内海,うちうみ|うつみ,43100,15.64
野沢,のざわ,43000,14.32
福原,ふくはら,42900,8.68
河原,かわら,42900,6.11
西原,にしはら,42800,11.19
松野,まつの,42800,18.75
笠井,かさい,42700,25.43
秋元,あきもと,42600,17.35
小坂,こさか|おさか,42200,14.65
田畑,たはた|たばた,42100,17.98
谷本,たにもと,41900,13.07
日野,ひの,41900,3.83
千田,せんだ|ちだ,41800,36.07
渡邊,わたなべ,41600,14.22
北島,きたじま,41500,12.45
吉井,よしい,41500,12.45
深沢,ふかざわ,41400,31.13
西沢,にしざわ,41200,27.91
徳田,とくだ,41100,35.58
相沢,あいざわ,41100,18.88
新谷,しんたに|あたらしや,40700,26.09
原口,はらぐち,40700,29.93
田上,たがみ|たのうえ,40700,28.51
小柳,こやなぎ,40600,21.57
菅,すげ|すが,40600,11.68
米山,よねやま,40400,23.2
細谷,ほそや,40300,47.83
森岡,もりおか,40200,31.06
今泉,いまいずみ,40200,21.19
畑中,はたなか,40100,62.26
浜野,はまの,40000,37.29
芳賀,はが,39700,22.04
小嶋,おしま,39600,31.35
大井,おおい,39500,5.87
秋田,あきた,39500,0.68
磯部,いそべ,39400,26.35
大崎,おおさき,39100,7.02
白川,しらかわ|はくせん,39100,10.65
植木,うえき,39000,9.64
坪井,つぼい,38900,25.1
中本,なかほん,38900,32.92
三谷,みたに,38800,12.57
相原,あいはら,38800,23.78
細田,ほそだ,38800,31.65
皆川,みながわ|みなかわ,38700,27.79
荻原,おぎわら|おぎはら,38700,26.24
浅見,せんけん,38700,24.67
浜口,はまぐち,38600,25.53
福山,ふくやま,38600,2.98
岸田,きしだ,38600,17.28
辻本,つじもと,38400,28.51
川瀬,かわせ,38200,31.06
木原,きはら,38200,29.27
大友,おおとも,38200,15.12
畑,はたけ|はた,38200,1.53
平林,ひらばやし,38000,32.2
河内,こうち|かわち|かわうち,37900,5.87
塩田,えんでん,37900,21.93
遠山,とおやま,37800,19.19
島村,しまむら,37700,26.72
古屋,ふるや|こや,37700,18.23
大坪,おおつぼ,37600,26.77
三井,みつい,37500,1.95
植村,うえむら,37500,32.92
難波,なんば,37500,7.46
神山,かみやま|こうやま,37400,135.52
中里,なかざと,37400,19.94
齊藤,さいとう,37300,27.73
三村,みむら,37200,34.92
三橋,みはし|みつはし,37100,26.88
岩下,いわした,37100,39.29
大澤,おうさわ,37100,24.18
栗山,くりやま,37000,177.9
渡邉,わたなべ,37000,16.56
井手,いで,36900,26.94
松川,まつかわ,36900,18.21
吉永,よしなが,36800,16.12
早坂,はやさか|はやざか,36700,25.0
川畑,かわばた,36600,50.38
長井,ながい,36600,15.96
佐竹,さたけ,36600,26.35
井出,いで,36400,24.54
河田,かわだ|かわた,36200,27.05
亀山,かめやま,36100,11.79
浜崎,はまざき,36100,6.08
橘,たちばな,36000,4.02
川合,かわい|かわえ,36000,31.96
朝倉,あさくら,36000,7.86
柳,やなぎ,36000,3.0
草野,くさの,35900,18.72
堀井,ほりい,35500,22.68
保坂,ほさか,35300,25.53
志賀,しが,35200,10.56
村岡,むらおか,35200,30.28
尾形,おがた,35200,29.33
高村,たかむら,35100,19.27
半田,はんだ,35000,9.64
狩野,かのう|かの,35000,20.95
若松,わかまつ,35000,6.77
水上,すいじょう|みずかみ|みなかみ,35000,1.75
小宮,こみや,34900,29.66
大津,おおつ,34800,4.43
高岡,たかおか,34800,6.44
中根,なかね,34700,33.25
亀田,かめだ,34700,5.95
高柳,たかやなぎ,34700,30.84
立石,たていし,34700,22.04
柴崎,しばさき,34500,228.37
市村,いちむら,34400,31.43
三島,みしま,34400,5.16
瀬川,せがわ,34400,18.8
寺島,てらしま,34300,20.37
奈良,なら,34300,0.35
清野,きよの|せいの,34200,50.77
真鍋,まなべ,34100,24.77
武内,たけうち,34100,23.36
平,へい|たいら|ひとし|ひら|おさむ,34000,0.46
玉井,たまい,34000,32.35
水口,みずくち|みなくち|みずぐち,33900,12.69
新垣,あらかき|あらがき|しんがき|にいがき,33900,8.74
内野,ないや|うちの,33900,12.34
藤崎,ふじさき,33800,68.39
植松,うえまつ,33800,29.01
木内,きうち,33800,26.94
大沼,おおぬま,33700,19.1
江藤,えとう,33700,22.92
進藤,しんどう,33700,30.0
久野,くの,33700,40.87
橋口,はしぐち,33700,36.36
高見,こうけん|たかみ,33600,16.36
深谷,ふかや,33600,10.56
寺本,てらもと,33500,45.05
玉城,たまき|たましろ,33400,35.01
宮地,みやじ|みやち|みやぢ,33300,25.34
織田,おだ|おりた,33300,5.89
守屋,もりや,33200,28.21
河本,かわもと|こうもと,33100,33.59
藤森,ふじもり,33100,19.58
菅谷,すがや,33000,33.59
毛利,もうり,33000,8.68
大江,おおえ,32800,5.84
宮島,みやじま,32800,15.62
並木,なみき,32800,7.25
有馬,ありま,32800,8.52
那須,なす,32700,6.08
下山,げざん|さがやま|しもやま,32700,5.39
有田,ありだ,32700,12.69
高原,こうげん|たかはら,32600,1.57
市原,いちはら,32500,6.8
矢部,やべ,32400,18.94
飯野,いいの,32100,29.27
鳥居,とりい,32100,7.46
北山,きたやま,32100,14.18
坂下,さかした,32000,16.82
石渡,いしわたり|いしわた,32000,54.32
関谷,せきや,32000,48.18
